league,match_time,home_team,away_team,home_score,away_score,home_corners,away_corners,SPREAD_FT_+0.5/1_HomeOdds,SPREAD_FT_+0.5_AwayOdds,SPREAD_FT_+0.5_HomeOdds,SPREAD_FT_+0/0.5_AwayOdds,SPREAD_FT_+0/0.5_HomeOdds,SPREAD_FT_+1_HomeOdds,SPREAD_FT_-0.5/1_AwayOdds,SPREAD_FT_-0.5_AwayOdds,SPREAD_FT_-0.5_HomeOdds,SPREAD_FT_-0/0.5_AwayOdds,SPREAD_FT_-0/0.5_HomeOdds,SPREAD_FT_-1_AwayOdds,SPREAD_FT_0_AwayOdds,SPREAD_FT_0_HomeOdds,TOTAL_POINTS_FT_0.5/1_OverOdds,TOTAL_POINTS_FT_0.5/1_UnderOdds,TOTAL_POINTS_FT_0.5_OverOdds,TOTAL_POINTS_FT_0.5_UnderOdds,TOTAL_POINTS_FT_1.5/2_OverOdds,TOTAL_POINTS_FT_1.5/2_UnderOdds,TOTAL_POINTS_FT_1.5_OverOdds,TOTAL_POINTS_FT_1.5_UnderOdds,TOTAL_POINTS_FT_2.5/3_OverOdds,TOTAL_POINTS_FT_2.5/3_UnderOdds,TOTAL_POINTS_FT_2.5_OverOdds,TOTAL_POINTS_FT_2.5_UnderOdds,TOTAL_POINTS_FT_2/2.5_OverOdds,TOTAL_POINTS_FT_2/2.5_UnderOdds,TOTAL_POINTS_FT_2_OverOdds,TOTAL_POINTS_FT_2_UnderOdds,TOTAL_POINTS_FT_3.5/4_OverOdds,TOTAL_POINTS_FT_3.5/4_UnderOdds,TOTAL_POINTS_FT_3.5_OverOdds,TOTAL_POINTS_FT_3.5_UnderOdds,TOTAL_POINTS_FT_3/3.5_OverOdds,TOTAL_POINTS_FT_3/3.5_UnderOdds,TOTAL_POINTS_FT_3_OverOdds,TOTAL_POINTS_FT_3_UnderOdds,TOTAL_POINTS_FT_8.5/9_OverOdds,TOTAL_POINTS_FT_8.5/9_UnderOdds,TOTAL_POINTS_FT_8.5_OverOdds,TOTAL_POINTS_FT_8.5_UnderOdds
UEFA Conference League,2H61:25,Astana,Vitoria Guimaraes,1,0,,,0.56,,0.87,,1.35,0.27,1.51,1.03,,0.64,,2.70,,,,,,,0.59,1.40,0.41,1.88,,,,,1.47,0.56,1.02,0.86,,,,,,,,,,,,
Saudi Pro League,2H99:00,Al Fayha,Al Orobah Sakakah,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Pro League,2H79:47,Al Okhdood,Al Kholood,1,1,,,,0.27,,0.47,,,,,2.70,,1.75,,1.53,0.55,,,,,,,,,2.00,0.38,1.23,0.69,,,,,,,,,,,4.00,0.13,,,,
Russia Cup,1H15:55,Lokomotiv Moscow,Dynamo Moscow,0,0,,,,,,0.72,,,,,,,1.21,,1.09,0.81,,,,,,,,,1.04,0.84,0.83,1.05,,,,,,,,,,,,,,,,
Belarus Premier League,2H79:38,BATE Borisov,Smorgon,5,3,,,,,,0.62,,,,,,,1.28,,1.78,0.40,,,,,,,,,,,,,,,,,,,,,,,,,1.58,0.45,0.97,0.85
Armenia Premier League,2H84:49,Shirak,Pyunik,1,0,,,,,,,0.41,,,,,1.75,,,0.28,2.27,,,,,2.77,0.18,1.81,0.37,,,,,,,,,,,,,,,,,,,,
Qatar Division 2,2H89:37,Muaither,Al Kharitiyath,0,1,,,,,,0.15,,,,,,,3.22,,0.92,0.92,,,,,3.57,0.10,2.70,0.19,,,,,,,,,,,,,,,,,,,,
Qatar Division 2,2H85:54,Al Markhiya,Al Mesaimeer,2,1,,,,,,,0.25,,,,,2.43,,,0.89,0.95,,,,,,,,,,,,,,,,,2.43,0.23,1.66,0.42,,,,,,,,
Israel Liga Alef,HT,Maccabi Yavne,MS Jerusalem,1,1,,,,,,,0.65,,,,,1.07,,,0.64,1.08,,,,,,,,,,,,,,,,,,,1.11,0.62,0.82,0.90,,,,,,
Israel Premier League U19,HT,Hapoel Petah Tikva Nahum Stelmah U19,Maccabi Netanya U19,2,0,,,0.73,,0.99,,,,0.99,0.73,,,,,,,,,,,,,,,,,,,,,,,0.85,0.87,0.63,1.09,,,,,,,,
Romania Liga 2,2H89:47,Ceahlaul Piatra Neamt,Arges Pitesti,0,0,,,,,,0.09,,,,,,,4.00,,,,4.76,0.03,3.57,0.10,,,,,,,,,,,,,,,,,,,,,,,,
International Friendly Women,1H17:30,Slovakia (W),Greece (W),0,0,,,,0.90,,1.20,,,,,0.94,,0.67,,,,,,,,,,,,,,,,1.17,0.67,0.89,0.93,,,,,,,,,,,,
*LEAGUE*,Unknown Time,Unknown,Unknown,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
