league,match_time,home_team,away_team,home_score,away_score,1 X 2 - 1,1 X 2 - 2,1 X 2 - X,1H1 X 2 - 1,1H1 X 2 - 2,1H1 X 2 - X,1HHDP - +0.5,1HHDP - +0.5/1,1HHDP - +0/0.5,1HHDP - +1/1.5,1HHDP - -0.5,1HHDP - -0.5/1,1HHDP - -0/0.5,1HHDP - -1/1.5,1HHDP - 0,1HO/U - O,1HO/U - U,BTTS - No,BTTS - Yes,ET1 X 2 - 1,ET1 X 2 - 2,ET1 X 2 - X,ETBTTS - No,ETBTTS - Yes,ETHDP - 0,ETNext Goal - 1,ETNext Goal - 2,ETNext Goal - X,ETO/U - O,ETO/U - U,HDP - +0.5,HDP - +0.5/1,HDP - +0/0.5,HDP - +1,HDP - +1.5,HDP - +1.5/2,HDP - +1/1.5,HDP - +2,HDP - +2.5/3,HDP - -0.5,HDP - -0.5/1,HDP - -0/0.5,HDP - -1,HDP - -1.5,HDP - -1.5/2,HDP - -1/1.5,HDP - -2,HDP - -2.5/3,HDP - 0,Next Goal - 1,Next Goal - 2,Next Goal - X,O/E - Even,O/E - Odd,O/U - O,O/U - U,Team 1 Goals - O,Team 1 Goals - U,Team 2 Goals - O,Team 2 Goals - U
English Premier League,Today 16:00,Brighton And Hove Albion,Southampton,0,0,1.36,7.90,5.50,1.80,5.70,2.85,1.11,,,,0.81,,,,,1.12,0.79,2.29,1.63,,,,,,,,,,,,,,,,0.92,,,,,,,,,0.99,,,,,,,,,1.95,1.95,0.84,1.07,,,,
Germany Bundesliga 1,Today 15:30,St Pauli,Holstein Kiel,0,0,1.69,5.30,3.80,2.33,5.20,2.17,,,1.05,,,,0.86,,,0.91,0.98,1.94,1.87,,,,,,,,,,,,,1.00,,,,,,,,,0.91,,,,,,,,,,,,1.93,1.97,0.95,0.95,,,,
Spain Primera Division,Today 16:00,Mallorca,Valencia,0,0,2.12,4.60,2.85,3.00,5.60,1.75,,,0.68,,,,1.29,,,1.12,0.79,1.57,2.42,,,,,,,,,,,,0.82,,,,,,,,,1.09,,,,,,,,,,,,,1.88,2.02,0.95,0.96,,,,
Italy Serie A,Today 15:45,Cagliari,Hellas Verona,0,0,1.96,4.20,3.40,2.61,4.35,2.14,,,0.83,,,,1.08,,,0.89,1.01,2.19,1.69,,,,,,,,,,,,0.94,,,,,,,,,0.97,,,,,,,,,,,,,1.93,1.97,0.88,1.03,,,,
France Ligue 1,Today 15:45,Stade Reims,RC Lens,0,0,2.95,2.29,3.30,3.30,2.94,2.19,,,,,,,,,0.77,0.94,0.96,2.00,1.79,,,,,,,,,,,,,,0.88,,,,,,,,,1.03,,,,,,,,,,,1.93,1.97,1.04,0.86,,,,
Germany Bundesliga 2,Today 13:30,Schalke 04,Kaiserslautern,0,0,2.21,3.10,3.60,2.72,3.45,2.25,,,,,,,,,1.23,1.08,0.82,2.48,1.52,,,,,,,,,,,,,,0.96,,,,,,,,,0.95,,,,,,,,,,,1.94,1.96,1.05,0.85,,,,
Germany Bundesliga 2,Today 13:30,Magdeburg,Hertha BSC Berlin,0,0,2.38,2.70,3.80,2.80,3.10,2.38,,,,,,,,,1.03,0.93,0.97,2.78,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,1.95,1.95,1.06,0.84,,,,
Germany Bundesliga 2 - Specials,Today 13:30,Home Team - Friday - 2 Games,Away Team - Friday - 2 Games,0,0,2.00,2.49,5.00,2.19,2.71,3.40,,,0.85,,,,1.03,,,0.90,0.98,,,,,,,,,,,,,,0.91,,,,,,,,,0.99,,,,,,,,,,,,,1.95,1.95,0.89,0.99,,,,
Netherlands Eredivisie,Today 15:00,SC Heerenveen,RKC Waalwijk,0,0,1.65,4.90,4.20,2.20,4.40,2.39,,,1.07,,,,0.83,,,0.99,0.91,2.27,1.62,,,,,,,,,,,,,1.05,,,,,,,,,0.86,,,,,,,,,,,,1.95,1.95,0.96,0.94,,,,
Denmark Super League,Today 14:00,Brondby IF,Aalborg BK,0,0,1.38,6.30,5.00,1.83,5.40,2.70,1.06,,,,0.84,,,,,0.80,1.09,2.16,1.67,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,0.85,,,,,,,1.95,1.95,0.96,0.93,,,,
English League Championship,Today 16:00,Sheffield United,Sunderland,0,0,2.07,3.60,3.10,2.75,4.25,2.00,,,0.72,,,,1.21,,,0.78,1.12,1.78,2.01,,,,,,,,,,,,0.84,,,,,,,,,1.07,,,,,,,,,,,,,1.92,1.98,1.08,0.81,,,,
Belgium First Division A,Today 15:45,KV Kortrijk,KV Mechelen,0,0,3.15,2.07,3.60,3.75,2.60,2.22,,,0.76,,,,1.16,,,0.82,1.07,2.12,1.70,,,,,,,,,,,,0.83,,,,,,,,,1.08,,,,,,,,,,,,,1.94,1.96,0.81,1.08,,,,
Portugal Primeira Liga,Today 16:15,Farense,Estrela Da Amadora,0,0,2.35,2.99,3.10,2.89,3.95,2.00,,,,,,,,,1.22,0.77,1.13,1.78,2.01,,,,,,,,,,,,,,0.85,,,,,,,,,1.06,,,,,,,,,,,1.93,1.97,1.12,0.77,,,,
Turkey Super League,Today 13:00,Antalyaspor,Sivasspor,0,0,2.12,3.10,3.55,2.66,3.70,2.20,,,0.72,,,,1.21,,,0.83,1.06,2.13,1.69,,,,,,,,,,,,,,1.05,,,,,,,,,0.86,,,,,,,,,,,1.94,1.96,0.85,1.04,,,,
Spain Segunda Division,Today 15:30,Real Oviedo,SD Huesca,0,0,1.67,5.70,3.25,2.42,6.10,1.91,,,0.98,,,,0.92,,,0.95,0.94,1.47,2.64,,,,,,,,,,,,,0.97,,,,,,,,,0.94,,,,,,,,,,,,1.91,1.99,1.08,0.81,,,,
Italy Serie B,Today 15:30,AC Reggiana,US Sassuolo,0,0,4.85,1.65,3.75,4.75,2.29,2.20,,,1.03,,,,0.87,,,0.83,1.06,1.93,1.85,,,,,,,,,,,,,1.06,,,,,,,,,0.85,,,,,,,,,,,,1.94,1.96,0.91,0.98,,,,
Poland Ekstraklasa,Today 13:00,Cracovia Krakow,Zaglebie Lubin,0,0,1.89,3.50,3.50,2.44,3.90,2.20,,,0.87,,,,1.03,,,0.73,1.17,2.10,1.71,,,,,,,,,,,,1.00,,,,,,,,,0.90,,,,,,,,,,,,,1.94,1.96,1.05,0.83,,,,
Poland Ekstraklasa,Today 15:30,Piast Gliwice,Lech Poznan,0,0,3.10,2.21,3.10,3.80,2.79,2.00,,,0.67,,,,1.29,,,1.20,0.71,1.76,2.03,,,,,,,,,,,,,,0.99,,,,,,,,,0.91,,,,,,,,,,,1.93,1.97,1.03,0.85,,,,
Scotland FA Cup,Today 15:45,Dumbarton,Alloa Athletic,0,0,2.16,2.66,3.55,2.74,3.20,2.26,,,,,,,,,1.07,1.08,0.74,2.31,1.57,,,,,,,,,,,,,,0.84,,,,,,,,,1.00,,,,,,,,,,,1.94,1.96,0.85,0.97,,,,
Saudi Pro League,2H80:55,Al Khaleej Saihat,Al Qadisiyah Al Khubar,0,0,9.00,3.65,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,1.40,,,,,,,,7.6,3.35,1.54,1.40,2.96,1.53,0.53,3.84,0.09,1.96,0.34
Saudi Pro League,2H64:26,Al Nassr Riyadh,Damac,1,0,1.01,31.0,16.5,,,,,,,,,,,,,,,1.09,4.55,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,1.01,,,,1.35,11.0,3.90,2.03,1.86,1.06,0.82,0.88,0.95,3.84,0.09
Saudi Pro League,Today 13:00,Al Ahli Jeddah,Al Wehda Mecca,0,0,1.21,10.5,6.30,1.64,7.50,2.80,,1.04,,,,0.86,,,,1.08,0.80,1.84,1.94,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,1.11,,,,,,1.95,1.95,0.89,0.99,,,,
Austria 2 Liga,Today 13:00,Stripfing Weiden,Rapid Wien II,0,0,2.90,2.11,3.55,3.40,2.64,2.25,,,,,,,,,0.72,1.14,0.75,2.29,1.60,,,,,,,,,,,,,,0.97,,,,,,,,,0.93,,,,,,,,,,,1.94,1.96,0.93,0.95,,,,
Austria 2 Liga,Today 13:00,ASK Voitsberg,Austria Lustenau,0,0,2.23,2.91,3.25,2.75,3.55,2.10,,,,,,,,,1.23,0.97,0.91,1.97,1.81,,,,,,,,,,,,,,0.92,,,,,,,,,0.98,,,,,,,,,,,1.94,1.96,1.08,0.80,,,,
Austria 2 Liga,Today 13:00,SV Horn,Admira Wacker,0,0,6.00,1.43,4.20,5.20,2.05,2.25,0.82,,,,1.08,,,,,0.81,1.07,1.74,2.06,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,1.09,,,,,,,1.94,1.96,0.90,0.98,,,,
Austria 2 Liga,Today 13:00,SKN St Polten,SV Lafnitz,0,0,1.34,6.20,5.10,1.88,5.10,2.54,1.01,,,,0.89,,,,,1.02,0.86,2.34,1.58,,,,,,,,,,,,,,,,0.90,,,,,,,,,1.00,,,,,,,,,1.95,1.95,1.00,0.88,,,,
Austria 2 Liga,Today 15:30,First Vienna,SV Ried,0,0,3.30,1.95,3.50,3.85,2.45,2.20,,,0.81,,,,1.09,,,0.80,1.08,2.10,1.71,,,,,,,,,,,,0.94,,,,,,,,,0.96,,,,,,,,,,,,,1.94,1.96,1.04,0.84,,,,
Netherlands Eerste Divisie,Today 15:00,Roda JC Kerkrade,Volendam,0,0,2.70,2.21,3.60,3.20,2.55,2.39,,,,,,,,,0.73,0.85,1.03,2.84,1.41,,,,,,,,,,,,,,0.94,,,,,,,,,0.96,,,,,,,,,,,1.95,1.95,0.97,0.91,,,,
Netherlands Eerste Divisie,Today 15:00,ADO Den Haag,Emmen,0,0,1.96,3.15,3.65,2.42,3.65,2.30,,,0.81,,,,1.09,,,1.11,0.78,2.33,1.59,,,,,,,,,,,,0.93,,,,,,,,,0.97,,,,,,,,,,,,,1.95,1.95,0.81,1.07,,,,
Netherlands Eerste Divisie,Today 15:00,Telstar 1963,SC Cambuur,0,0,2.85,2.19,3.40,3.35,2.64,2.25,,,,,,,,,0.72,1.12,0.77,2.36,1.57,,,,,,,,,,,,,,1.00,,,,,,,,,0.90,,,,,,,,,,,1.94,1.96,0.89,0.99,,,,
Netherlands Eerste Divisie,Today 15:00,Vitesse,Helmond Sport,0,0,2.71,2.30,3.35,3.30,2.81,2.17,,,,,,,,,0.78,1.16,0.74,2.37,1.57,,,,,,,,,,,,,,0.85,,,,,,,,,1.05,,,,,,,,,,,1.94,1.96,0.92,0.96,,,,
Netherlands Eerste Divisie,Today 15:00,SBV Excelsior,Jong Ajax Amsterdam,0,0,1.30,6.70,5.50,1.73,5.30,2.82,,0.88,,,,1.02,,,,0.88,1.00,2.46,1.53,,,,,,,,,,,,,,,,1.04,,,,,,,,,0.86,,,,,,,,,1.95,1.95,0.96,0.92,,,,
Netherlands Eerste Divisie,Today 15:00,Eindhoven,Jong PSV Eindhoven,0,0,1.73,3.80,3.85,2.26,4.05,2.33,,,1.01,,,,0.89,,,0.96,0.92,2.38,1.56,,,,,,,,,,,,,0.94,,,,,,,,,0.96,,,,,,,,,,,,1.95,1.95,0.91,0.97,,,,
English FA Cup,Today 15:45,Harrogate Town,Gainsborough Trinity,0,0,1.32,7.50,4.70,1.87,6.40,2.33,1.02,,,,0.88,,,,,1.17,0.73,1.73,2.07,,,,,,,,,,,,,,,,0.84,,,,,,,,,1.06,,,,,,,,,1.95,1.95,0.94,0.94,,,,
France Cup,Today 14:00,US Orleans,Vendee La Roche Sur Yon,0,0,1.43,5.90,3.95,2.05,5.80,2.17,0.78,,,,1.06,,,,,0.90,0.92,1.63,2.19,,,,,,,,,,,,,,,1.01,,,,,,,,,0.83,,,,,,,,,,1.94,1.96,1.01,0.81,,,,
France Cup,Today 14:00,Stade Briochin,US Saint Malo,0,0,2.88,2.27,3.00,3.65,3.00,1.94,,,,,,,,,0.68,0.77,1.05,1.73,2.04,,,,,,,,,,,,,,0.80,,,,,,,,,1.04,,,,,,,,,,,1.92,1.98,0.81,1.01,,,,
France Cup,Today 14:30,SC Bastia,AS Nancy,0,0,2.11,3.20,3.00,2.83,4.05,1.92,,,0.63,,,,1.26,,,0.82,1.00,1.64,2.17,,,,,,,,,,,,,,0.96,,,,,,,,,0.88,,,,,,,,,,,1.93,1.97,0.83,0.99,,,,
France Cup,Today 14:30,Raon L Etape,Metz,0,0,19.0,1.04,9.80,13.5,1.30,3.65,,,,0.83,,,,1.01,,0.92,0.90,1.40,2.80,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,0.88,,,,,1.95,1.95,0.84,0.98,,,,
Romania Liga 1,2H46:01,Botosani,Farul Constanta,0,0,2.74,3.20,2.37,,,,,,,,,,,,,,,1.19,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,2.36,2.61,3.40,1.83,2.06,1.00,0.88,0.86,0.97,0.99,0.84
Romania Liga 1,Today 14:45,Rapid Bucuresti,Petrolul Ploiesti,0,0,2.08,3.50,3.00,2.73,4.30,1.92,,,0.71,,,,1.23,,,0.82,1.06,1.68,2.15,,,,,,,,,,,,0.81,,,,,,,,,1.09,,,,,,,,,,,,,1.92,1.98,0.90,0.98,,,,
Switzerland Challenge League,Today 14:30,Stade Lausanne Ouchy,Neuchatel Xamax,0,0,1.90,3.30,3.70,2.35,3.80,2.33,,,0.87,,,,1.03,,,1.01,0.87,2.35,1.55,,,,,,,,,,,,1.00,,,,,,,,,0.90,,,,,,,,,,,,,1.96,1.94,1.00,0.88,,,,
Switzerland Challenge League,Today 15:15,Vaduz,Schaffhausen,0,0,2.06,2.96,3.60,2.54,3.50,2.28,,,0.75,,,,1.17,,,1.08,0.80,2.31,1.57,,,,,,,,,,,,0.83,,,,,,,,,1.07,,,,,,,,,,,,,1.95,1.95,0.83,1.05,,,,
Denmark 1st Division,Today 14:00,Kolding IF,AC Horsens,0,0,2.37,2.94,3.15,3.15,3.70,1.96,,,,,,,,,1.12,0.74,1.16,1.90,1.88,,,,,,,,,,,,,,0.79,,,,,,,,,1.13,,,,,,,,,,,1.93,1.97,0.97,0.91,,,,
Denmark 1st Division,Today 14:00,Hvidovre IF,Hobro IK,0,0,2.26,2.90,3.40,2.80,3.55,2.17,,,,,,,,,1.20,0.89,0.99,2.08,1.73,,,,,,,,,,,,,,0.91,,,,,,,,,1.00,,,,,,,,,,,1.94,1.96,0.94,0.94,,,,
Germany 3rd Liga,Today 14:00,Arminia Bielefeld,Ingolstadt 04,0,0,2.14,2.87,3.55,2.59,3.40,2.28,,,0.72,,,,1.21,,,1.11,0.78,2.28,1.58,,,,,,,,,,,,0.76,,,,,,,,,1.16,,,,,,,,,,,,,1.92,1.98,0.86,1.02,,,,
Argentina Liga Profesional,Today 18:00,San Lorenzo Almagro,Belgrano,0,0,2.16,3.75,2.85,2.89,4.45,1.89,,,0.67,,,,1.29,,,0.98,0.91,1.58,2.34,,,,,,,,,,,,,,1.06,,,,,,,,,0.85,,,,,,,,,,,1.90,2.00,0.86,1.03,,,,
Argentina Liga Profesional,Today 20:00,Estudiantes La Plata,River Plate,0,0,3.40,2.20,3.05,4.05,2.86,1.99,,,0.66,,,,1.31,,,0.79,1.11,1.75,2.04,,,,,,,,,,,,,,0.98,,,,,,,,,0.93,,,,,,,,,,,1.92,1.98,0.85,1.04,,,,
Argentina Liga Profesional - Specials,Today 18:00,Home Team - Friday - 2 Games,Away Team - Friday - 2 Games,0,0,2.23,2.37,4.35,2.60,2.68,2.76,,,,,,,,,0.97,0.94,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,1.95,1.95,0.85,1.03,,,,
Germany Regionalliga Bavaria,Today 14:00,Schweinfurt 05,SpVgg Bayreuth,0,0,2.02,3.10,3.30,2.57,3.75,2.15,,,0.73,,,,1.14,,,0.77,1.07,2.21,1.62,,,,,,,,,,,,0.83,,,,,,,,,1.03,,,,,,,,,,,,,1.94,1.96,0.98,0.86,,,,
Germany Regionalliga Bavaria,Today 14:00,Augsburg Am,SV Wacker Burghausen,0,0,2.07,2.78,3.60,2.54,3.35,2.34,,,0.72,,,,1.16,,,0.98,0.86,2.49,1.50,,,,,,,,,,,,,,1.00,,,,,,,,,0.86,,,,,,,,,,,1.95,1.95,0.92,0.92,,,,
Australia A League Women,Today 23:15,Melbourne City (W),Western Sydney Wanderers (W),0,0,1.26,8.00,5.40,1.75,6.30,2.56,,0.88,,,,1.02,,,,0.85,1.03,1.92,1.85,,,,,,,,,,,,,,,,,0.85,,,,,,,,,1.05,,,,,,,,1.96,1.94,0.97,0.91,,,,
Belgium Challenger Pro League,Today 15:00,Lommel,Lokeren Temse,0,0,1.70,4.15,3.70,2.28,4.45,2.19,,,1.00,,,,0.88,,,0.79,1.07,1.97,1.78,,,,,,,,,,,,,0.97,,,,,,,,,0.91,,,,,,,,,,,,1.94,1.96,1.03,0.83,,,,
Belgium Challenger Pro League,Today 15:00,Jong Genk,SV Zulte Waregem,0,0,4.95,1.49,4.40,4.55,2.06,2.41,0.81,,,,1.07,,,,,0.90,0.96,2.28,1.58,,,,,,,,,,,,,,,0.97,,,,,,,,,0.91,,,,,,,,,,1.95,1.95,0.79,1.07,,,,
Bulgaria First Professional Football League,2H48:12,Septemvri Sofia,PFC Cherno More Varna,0,2,18.0,1.01,13.0,,,,,,,,,,,,,,,1.37,2.66,,,,,,,,,,,,,,1.02,,,,,,,,,0.84,,,,,,,,3.90,2.02,2.72,1.75,2.12,0.89,0.95,1.69,0.38,0.76,1.03
